Название,КОПУК,Адрес,"Число предметов основного фонда на конец года, единиц","Число предметов научно-вспомогательного фонда на конец года, единиц","Число музейных предметов, внесенных в электронный каталог музея, единиц","Число выставок – всего, единиц (сумма гр.5,6,7)","Число посещений – всего, тыс.чел. (сумма гр.4,7)","Численность работников - всего, человек","Число строений - всего, единиц"
Ист.-краеведческий музей Чернигов.района,140757,"692372 Приморский край, с.Черниговка, ул.Ленинская, 78",6080,5406,0,48,12.4,5,1
Райчихинский краеведческий музей,130191,"676770 Амурская обл., г.Райчихинск, ул.Победы, 11",4854,5685,514,84,24.7,3,1
Белокатайский ист.-краеведческий музей,139891,"452580 Респ.Башкортостан,Белокатайский р-н,с.Новобелокатай,ул.Советская,124",2611,937,0,36,7.2,2,1
Музей М.Е.Салтыкова-Щедрина,115327,"170100 г.Тверь, ул.Рыбацкая, 11",0,0,0,12,15.6,11,2
Гос.центр.музей совр.истории России,110130,"125009 г.Москва, ул.Тверская, 21",1064014,312688,585530,111,80,218,13
Ист.-краеведческий музей обороны Туапсе,139641,"352800 Краснодарский край, г.Туапсе, ул.Карла Маркса, 4/2",2512,4856,0,49,6,6,1
Музей Ленингр.блокадного детск.дома N26,138973,"352265 Краснодарский край, Отрадненский р-н, ст-ца Надежная, ул.Кооперативная, 42а",688,252,0,10,1.4,3,1
Мем.дом-музей М.Цветаевой в Болшеве,119883,"141070 Московская обл., г.Королев, ул.Цветаевой, 15",5322,2049,0,4,3.9,11,5
"Музей кн.культ.,лит.деят-ти Верхнекамья",134436,"618400 Пермский край, г.Березники, пр.Советский, 20",286,0,0,0,4,4,1
"Музей А.Г.Малышкина,Мокшан",121027,"442370 Пензенская обл., рп Мокшан, ул.Пензенская, 19",711,877,0,34,3.2,10,3
Саровский городской музей,133556,"607188 Нижегородская обл., г.Саров, пр.Мира, 48",21700,1137,2030,50,42.7,34,3
Чаунский краеведческий музей,118537,"689400 Чукотский а.о., Чаунский р-н, г.Певек, ул.Обручева, 17а",7712,2999,10711,34,3.2,8,3
Харбалахская картинная галерея,128774,"678710 Респ.Саха(Якутия), Таттинский улус, с.Харбалах",0,0,0,37,3.2,3,1
Арзамасский лит.-мем.музей А.П.Гайдара,114339,"607220 Нижегородская обл., г.Арзамас, ул.Горького, 18",11680,11927,2040,56,17.5,17,3
Орловский музей изоискусств,120787,"302028 г.Орел, ул.Октябрьская, 29",6265,959,7128,25,34.8,48,3
Павловский краеведческий музей,114127,"396422 Воронежская обл., г.Павловск, ул.1 Мая, 20",18948,3207,18948,31,4.4,4,1
Краеведческий музей Кваркенского р-на,141571,"462860 Оренбургская обл., Кваркенский р-н, с.Кваркено, ул.Центральная, 2",1800,0,0,27,7.9,2,1
Энгельcская картинная галерея,125102,"413100 Саратовская обл., г.Энгельс, пл.Ленина, 36",228,0,0,0,0,5,9
Военно-исторический музей Псковской обл.,121281,"181350 Псковская обл., г.Остров, ул.К.Либкнехта, 7а",7098,5417,230,28,19,24,5
Мантуровский краеведческий музей,116642,"157300 Костромская обл., г.Мантурово, ул.Верхняя Набережная, 15",4893,6793,350,18,4.3,6,1
"Мемориальный комплекс ""Земля Юрматы""",139779,"453261 Респ.Башкортостан, г.Салават, ул.Первомайская,18",0,0,0,0,12.2,4,0
Музейно-выставочный центр г.Серпухова,125600,"142203 Московская обл., г.Серпухов, ул.Горького, 5""б""",4937,383,0,58,38.9,23,2
Свободненский краеведческий музей,112437,"676456 Амурская обл., г.Свободный, ул.Зейская, 43",19000,4959,1581,38,38.6,6,1
Ивнянский историко-краеведческий музей,133185,"309110 Белгородская обл., Ивнянский р-н, п.Ивня, ул.Ленина, 22",3173,786,3200,15,5.7,5,1
Мемориал Славы,132426,"659106 Алтайский край, г.Заринск, ул.Горького, 7",3133,2473,0,31,6.1,8,1
Музей Калининского фронта,132801,"170530 Тверская обл., Калининский р-н, п.Эммаус",528,570,0,4,22.8,12,1
Шарьинский краеведческий музей,116461,"157500 Костромская обл., г.Шарья, ул.Октябрьская, 10",6505,3176,1656,35,12.4,10,1
Научно-исследовательский музей при РАХ,142881,"199034 г.Санкт-Петербург, Университетская набережная, 17",167685,13167,62252,79,43.3,129,4
Музей истории политической ссылки,115064,"665717 Иркутская обл., г.Братск, ул.Парковая, 3",0,0,0,5,3.2,3,1
Кумухский краеведческий музей,128346,"368360 Респ.Дагестан, Лакский р-н, с.Кумух",1287,1248,0,4,6.5,7,0
Олонский краев.музей им.В.Ф.Раевского,116851,"669341 Иркутская обл.,Усть-Ордынский Бурятский а.о.,с.Олонки,ул.Калинина,8",5261,1674,0,5,2.1,2,1
Музей истории города Дальнереченска,111824,"692135 Приморский край, г.Дальнереченск, ул.Рябуха, 75",4415,3569,0,18,6.4,6,1
Таштыпский краеведческий музей,130219,"655740 Респ.Хакасия, с.Таштып, ул.Луначарского, 7",4336,463,0,16,3.6,4,2
