Название,КОПУК,Адрес,"Число предметов основного фонда на конец года, единиц","Число предметов научно-вспомогательного фонда на конец года, единиц","Число музейных предметов, внесенных в электронный каталог музея, единиц","Число выставок – всего, единиц (сумма гр.5,6,7)","Число посещений – всего, тыс.чел. (сумма гр.4,7)","Численность работников - всего, человек","Число строений - всего, единиц"
Уинский нар. краеведческий музей,129739,"617520 Пермский край, Уинский р-н, с.Уинское, ул.Ленина, 28",7045,7136,1946,23,6.7,4,1
Нижнеингашский краеведческий музей,139463,"663850 Красноярский край, Нижнеингашский р-н, п.Нижний Ингаш, пер.Центральный, 4",655,650,116,20,2.9,4,1
Мем.дом-музей Д.А.Фурманова,114536,"155521 Ивановская обл., г.Фурманов, ул.Б.Фурмановская, 69",4375,711,0,8,2.2,8,1
Березовский краеведческий музей,123573,"628140 Ханты-Мансийский а.о., п.Березово, ул.Собянина,39",19370,4723,8195,45,13.8,20,1
"Историко-архитектурный комплекс ""Теремок""",143191,"214512 Смоленская обл., Смоленский р-н, д.Фленово",0,0,0,1,44.9,25,7
Ребрихинский краеведческий музей,132411,"658540 Алтайский край, Ребрихинский р-н, с.Ребриха, ул.Революционная, 8",2552,855,0,29,3,3,1
Грязинский краеведческий музей,118363,"399059 Липецкая обл., г.Грязи, ул.Советская, 78",3968,2568,2220,19,12.9,2,1
Елецкий художественный филиал,144207,"399770 Липецкая обл., г.Елец, ул.Советская, 70",40237,105,0,24,12.9,0,1
Гос.музей Холуйского искусства,114714,"155633 Ивановская обл., Южский р-н, с.Холуй, ул.Путилова, 10",4691,966,1110,7,5,14,1
Балахоновский ист.-краеведческий музей,130007,"357015 Ставропольский край, Кочубеевский р-н, с.Балахоновское, пл.Гетало, 3",2610,453,1230,14,2.6,6,1
Музей города Белореченска,133452,"352630 Краснодарский край, г.Белореченск, ул.40 лет Октября, 18",7071,1001,0,24,12.5,10,1
Музей археологии им.Е.С.Аннинского,140831,"662991 Красноярский край, г.Железногорск, п.Подгорный, ул.Лесная, 5",0,0,0,17,3.6,6,1
"Зырянский музей истории,культ.нар.Севера",128596,"678770 Респ.Саха(Якутия), Верхнеколымский улус, п.Зырянка, ул.Водников, 7",1490,2847,0,14,0.8,3,1
Сосногорский ист.-краеведческий музей,126270,"169500 Респ.Коми, г.Сосногорск, ул.Лермонтова, 6",11321,2843,550,42,10.3,4,2
Ивдельский ист.-этнографический музей,122392,"624590 Свердловская обл., г.Ивдель, ул.Данилова, 79",7165,2542,0,80,11.3,5,1
Ист.-художественный музей г.Юбилейный,131251,"141090 Московская обл., г.Юбилейный, ул.Тихонравова, 23",7211,174,7211,11,2.8,6,1
Иркутский обл.художественный музей,115030,"664025 г.Иркутск, ул.Ленина, 5",23248,0,23248,97,146.5,142,9
Рязанский музей путешественников,134987,"390000 г.Рязань, ул.Ленина, 35",822,669,0,14,3.4,11,4
Ист.-культурный центр им.Б.М.Кустодиева,116546,"157900 Костромская обл., Островский р-н, п.Островское, ул.Советская, 29",489,470,0,21,3.7,5,1
Ахуновский историко-краеведческий музей,138047,"453733 Респ.Башкортостан, Учалинский р-н, с.Ахуново, ул.Партизанская, 115",834,222,0,10,1.6,1,1
"Гос.военно-ист.муз.-зап""Прохоровск.поле""",112988,"309000 Белгородская обл., п.Прохоровка, ул.Парковая, 47",14145,12982,17964,23,195,177,6
Корсаковский ист.-краеведческий музей,125070,"694020 Сахалинская обл., г.Корсаков, ул.Краснофлотская, 22",4616,1469,4648,58,9,8,1
Апастовский краеведческий музей,137063,"422350 Республика Татарстан, Апастовский р-н, с.Апастово, ул.Красноармейская, 97",4147,4639,0,29,6.1,5,1
Мемор.музей-квартира М.С.Спиридонова,128083,"428015 г.Чебоксары, ул.Урукого, 15/1, кв.25",9378,39,9382,1,0.4,1,0
"Краеведч.музей ""Легенды седого Иртыша""",139726,"626170 Тюменская обл., Уватский р-н, с.Уват, ул.Ленина, 77",4659,2821,5861,46,11.6,6,1
"Городской музей ""Искусство Омска""",120429,"644070 г.Омск, ул.Куйбышева, 48",10222,3150,0,46,3.1,25,3
"Кердемский музейный комплекс ""Самартай""",128238,"678014 Респ.Саха(Якутия), Хангаласский улус, с.Кердем, ул.Ленина, 46",580,122,80,11,2.9,4,6
Железногорский краеведческий музей,117093,"307170 Курская обл., г.Железногорск, ул.Ленина, 56",26304,10587,8570,35,20.4,14,1
Нукутский районный краеведческий музей,132657,"669401 Иркутская обл., п.Новонукутский, ул.Ленина, 25",1049,953,0,18,1.8,3,1
Калтасинский ист.-краеведческий музей,138164,"452860 Респ.Башкортостан, Калтасинский р-н, с.Калтасы, ул.К.Маркса, 70",1732,1060,0,13,5.7,5,1
Глинковский краеведческий музей,122886,"216320 Смоленская обл., с.Глинка, ул.Красная, 3",2087,1189,1884,27,3.2,2,1
Ардатовский краеведческий музей,126586,"431860 Респ.Мордовия, г.Ардатов, ул.Дючкова, 103",15670,4498,3269,15,3.3,7,1
Гос.окружной музей природы и человека,123516,"628011 г.Ханты-Мансийск, ул.Мира, 11",128052,26069,131617,71,102.8,99,4
"Музей иск-в народов Севера, с.Каргасок",124114,"636700 Томская обл., с.Каргасок, ул.Пушкина, 21",926,392,0,18,1.6,3,1
Вилючанская художественная галерея,129230,"628284 Респ.Саха(Якутия), Сунтарский улус, с.Вилючан",0,0,0,18,2.6,2,1
Дом-музей М.И.Калинина д.Верхняя Троица,115401,"171627 Тверская обл., Кашинский р-н, д.Верхняя Троица",1699,2312,0,4,2.6,2,4
Заводоуковский краеведческий музей,137237,"627140 Тюменская обл., г.Заводоуковск, ул.Сибирская, 3а",6421,5950,12371,65,46.5,8,1
Красноярский культ.-ист.музейн.комплекс,110728,"660049 г.Красноярск, пл.Мира, 1",17256,7584,22000,83,309.1,100,1
Ярославский ист.-архитектурн.музей-зап.,124203,"150000 г.Ярославль, Богоявленская пл., 25",305686,47565,215687,54,869.5,214,35
Троицкий районный краеведческий музей,128469,"659840 Алтайский край, с.Троицкое, ул.Комсомольская, 27",6183,1241,0,13,2.6,4,3
Ербогаченский районный краеведческий музей им.В.Я.Шишкова,114880,"666611 Иркутская обл., Катангский р-н, с.Ербогачен, ул.Шишкова, 1",9167,3589,0,32,3.6,2,2
Становлянский краеведческий музей,134421,"399710 Липецкая обл., Становлянский р-н, с.Становое, ул.50 лет Октября, 20",3700,963,1387,21,4,2,1
Ногликский краеведческий музей,122299,"694450 Сахалинская обл., п.Ноглики, ул.Советская, 60",8054,1669,4820,33,10.3,12,1
Верейский историко-краеведческий музей,119370,"143330 Московская обл., г.Верея, Советская пл., 18",4599,6070,0,20,18.2,12,1
Чайковский краеведческий музей,121084,"617760 Пермский край, г.Чайковский, ул.Мира, 19",130,15,145,23,15.7,18,4
Тасеевский краеведческий музей,111745,"663770 Красноярский край, с.Тасеево, ул.Краснопартизанская, 3",2480,1520,2430,32,2.2,6,1
"Ист-этн.архит.музей-зап.""Старая Сарепта""",113548,"400026 г.Волгоград, ул.Изобильная, 10",42957,8823,15780,29,205,106,26
Ванинский районный краеведческий музей,140899,"682860 Хабаровский край, пгт Ванино, пл.Маяковского, 1",1704,1637,3341,20,6.3,4,1
Вавожский краеведческий музей,127536,"427310 Удмуртская Респ., с.Вавож, ул.Советская, 27",1733,2651,0,8,2.6,8,2
Мем.музей Мухамеда-Тахира аль Карахи,140009,"368453 Респ.Дагестан, Чародинский р-н, с.Цулда",980,480,0,4,5.2,6,1
"Музей истории рыболовства, Икряное",112795,"416370 Астраханская обл., Икрянинский р-н, с.Икряное, ул.Ленина, 7",0,0,0,32,16.5,6,1
